[2021-11-19 21:37:20,340]-[train_GGHL.py line:141]: Training start!  Img size:800,  Batchsize:20,  Number of workers:12 
[2021-11-19 21:37:20,340]-[train_GGHL.py line:143]: Train datasets number is : 617 
[2021-11-19 21:37:54,024]-[train_GGHL.py line:169]: Epoch:[  0/31] Batch:[  0/30] Img_size:[800] Loss:374.7747 Loss_fg:0.7798 | Loss_bg:283.7873 | Loss_pos:39.4816 | Loss_neg:0.0000 | Loss_iou:9.2981 | Loss_cls:10.0376 | Loss_s:2.7235 | Loss_r:4.6710 | Loss_l:23.9957 | LR:0 
[2021-11-19 21:38:22,156]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:38:22,156]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:38:22,156]-[train_GGHL.py line:220]:Inference time: 61.8152s 
[2021-11-19 21:38:50,374]-[train_GGHL.py line:169]: Epoch:[  1/31] Batch:[  0/30] Img_size:[736] Loss:94.3837 Loss_fg:10.7737 | Loss_bg:4.3227 | Loss_pos:35.6332 | Loss_neg:0.0000 | Loss_iou:9.0982 | Loss_cls:8.5328 | Loss_s:2.5246 | Loss_r:2.8871 | Loss_l:20.6114 | LR:5e-05 
[2021-11-19 21:39:15,128]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:39:15,128]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:39:15,128]-[train_GGHL.py line:220]:Inference time: 52.9720s 
[2021-11-19 21:39:46,340]-[train_GGHL.py line:169]: Epoch:[  2/31] Batch:[  0/30] Img_size:[832] Loss:82.4314 Loss_fg:8.3580 | Loss_bg:1.2676 | Loss_pos:30.4010 | Loss_neg:0.0000 | Loss_iou:8.7069 | Loss_cls:6.1111 | Loss_s:3.0975 | Loss_r:3.4930 | Loss_l:20.9962 | LR:0.0001 
[2021-11-19 21:40:15,388]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:40:15,388]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:40:15,388]-[train_GGHL.py line:220]:Inference time: 60.2600s 
[2021-11-19 21:40:38,443]-[train_GGHL.py line:169]: Epoch:[  3/31] Batch:[  0/30] Img_size:[832] Loss:65.6691 Loss_fg:6.9297 | Loss_bg:2.0937 | Loss_pos:24.0647 | Loss_neg:0.0000 | Loss_iou:7.8741 | Loss_cls:3.8549 | Loss_s:3.2531 | Loss_r:1.9598 | Loss_l:15.6390 | LR:9.97098e-05 
[2021-11-19 21:41:03,306]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:41:03,306]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:41:03,306]-[train_GGHL.py line:220]:Inference time: 47.9179s 
[2021-11-19 21:41:32,111]-[train_GGHL.py line:169]: Epoch:[  4/31] Batch:[  0/30] Img_size:[768] Loss:70.6346 Loss_fg:7.5090 | Loss_bg:1.7978 | Loss_pos:24.7789 | Loss_neg:0.0000 | Loss_iou:8.5935 | Loss_cls:3.2112 | Loss_s:3.8998 | Loss_r:3.4255 | Loss_l:17.4190 | LR:9.88427e-05 
[2021-11-19 21:41:59,991]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:41:59,991]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:41:59,991]-[train_GGHL.py line:220]:Inference time: 56.6848s 
[2021-11-19 21:42:21,114]-[train_GGHL.py line:169]: Epoch:[  5/31] Batch:[  0/30] Img_size:[800] Loss:53.3879 Loss_fg:5.5074 | Loss_bg:2.1888 | Loss_pos:17.7667 | Loss_neg:0.0000 | Loss_iou:7.1318 | Loss_cls:1.3592 | Loss_s:3.1907 | Loss_r:1.8328 | Loss_l:14.4107 | LR:9.74088e-05 
[2021-11-19 21:42:46,600]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:42:46,600]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:42:46,600]-[train_GGHL.py line:220]:Inference time: 46.6090s 
[2021-11-19 21:43:18,812]-[train_GGHL.py line:169]: Epoch:[  6/31] Batch:[  0/30] Img_size:[864] Loss:66.5106 Loss_fg:6.4393 | Loss_bg:3.5353 | Loss_pos:21.2658 | Loss_neg:0.0000 | Loss_iou:9.0519 | Loss_cls:1.5633 | Loss_s:3.3121 | Loss_r:4.3628 | Loss_l:16.9801 | LR:9.5425e-05 
[2021-11-19 21:43:51,038]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:43:51,038]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:43:51,039]-[train_GGHL.py line:220]:Inference time: 64.4392s 
[2021-11-19 21:44:14,321]-[train_GGHL.py line:169]: Epoch:[  7/31] Batch:[  0/30] Img_size:[864] Loss:42.2043 Loss_fg:5.1461 | Loss_bg:1.7460 | Loss_pos:13.4478 | Loss_neg:0.0000 | Loss_iou:5.9107 | Loss_cls:0.8352 | Loss_s:2.1504 | Loss_r:2.4146 | Loss_l:10.5534 | LR:9.29144e-05 
[2021-11-19 21:44:40,961]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:44:40,961]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:44:40,961]-[train_GGHL.py line:220]:Inference time: 49.9216s 
[2021-11-19 21:45:01,361]-[train_GGHL.py line:169]: Epoch:[  8/31] Batch:[  0/30] Img_size:[736] Loss:50.9529 Loss_fg:5.7056 | Loss_bg:2.6645 | Loss_pos:16.7372 | Loss_neg:0.0000 | Loss_iou:7.6758 | Loss_cls:0.9910 | Loss_s:2.4077 | Loss_r:1.6109 | Loss_l:13.1602 | LR:8.99066e-05 
[2021-11-19 21:45:23,037]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:45:23,037]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:45:23,037]-[train_GGHL.py line:220]:Inference time: 42.0761s 
[2021-11-19 21:45:43,905]-[train_GGHL.py line:169]: Epoch:[  9/31] Batch:[  0/30] Img_size:[832] Loss:44.3430 Loss_fg:5.5276 | Loss_bg:2.8756 | Loss_pos:14.1540 | Loss_neg:0.0000 | Loss_iou:6.9428 | Loss_cls:0.6895 | Loss_s:1.8098 | Loss_r:1.2478 | Loss_l:11.0959 | LR:8.64368e-05 
[2021-11-19 21:46:09,291]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:46:09,291]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:46:09,291]-[train_GGHL.py line:220]:Inference time: 46.2540s 
[2021-11-19 21:46:30,141]-[train_GGHL.py line:169]: Epoch:[ 10/31] Batch:[  0/30] Img_size:[800] Loss:50.1499 Loss_fg:5.0480 | Loss_bg:2.7594 | Loss_pos:15.9961 | Loss_neg:0.0000 | Loss_iou:7.7816 | Loss_cls:0.5384 | Loss_s:2.4861 | Loss_r:2.3154 | Loss_l:13.2249 | LR:8.25456e-05 
[2021-11-19 21:46:56,589]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:46:56,589]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:46:56,589]-[train_GGHL.py line:220]:Inference time: 47.2983s 
[2021-11-19 21:47:20,107]-[train_GGHL.py line:169]: Epoch:[ 11/31] Batch:[  0/30] Img_size:[864] Loss:46.9242 Loss_fg:4.5810 | Loss_bg:2.7929 | Loss_pos:15.4910 | Loss_neg:0.0000 | Loss_iou:7.5006 | Loss_cls:0.6693 | Loss_s:2.3528 | Loss_r:3.3036 | Loss_l:10.2330 | LR:7.82788e-05 
[2021-11-19 21:47:46,699]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:47:46,699]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:47:46,700]-[train_GGHL.py line:220]:Inference time: 50.1115s 
[2021-11-19 21:48:09,209]-[train_GGHL.py line:169]: Epoch:[ 12/31] Batch:[  0/30] Img_size:[832] Loss:41.4988 Loss_fg:5.2566 | Loss_bg:2.2735 | Loss_pos:13.1031 | Loss_neg:0.0000 | Loss_iou:6.7142 | Loss_cls:0.5333 | Loss_s:1.3714 | Loss_r:1.9327 | Loss_l:10.3141 | LR:7.36862e-05 
[2021-11-19 21:48:34,202]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:48:34,202]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:48:34,202]-[train_GGHL.py line:220]:Inference time: 47.5017s 
[2021-11-19 21:48:55,213]-[train_GGHL.py line:169]: Epoch:[ 13/31] Batch:[  0/30] Img_size:[800] Loss:46.7135 Loss_fg:5.9959 | Loss_bg:1.8746 | Loss_pos:15.5896 | Loss_neg:0.0000 | Loss_iou:7.1906 | Loss_cls:0.7296 | Loss_s:2.5448 | Loss_r:2.4825 | Loss_l:10.3059 | LR:6.88218e-05 
[2021-11-19 21:49:19,397]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:49:19,397]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:49:19,398]-[train_GGHL.py line:220]:Inference time: 45.1958s 
[2021-11-19 21:49:40,095]-[train_GGHL.py line:169]: Epoch:[ 14/31] Batch:[  0/30] Img_size:[736] Loss:34.2271 Loss_fg:4.4553 | Loss_bg:2.6048 | Loss_pos:11.0187 | Loss_neg:0.0000 | Loss_iou:5.7866 | Loss_cls:0.3010 | Loss_s:1.3052 | Loss_r:1.0659 | Loss_l:7.6896 | LR:6.37427e-05 
[2021-11-19 21:50:01,624]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:50:01,624]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:50:01,624]-[train_GGHL.py line:220]:Inference time: 42.2264s 
[2021-11-19 21:50:22,034]-[train_GGHL.py line:169]: Epoch:[ 15/31] Batch:[  0/30] Img_size:[736] Loss:36.6584 Loss_fg:4.5961 | Loss_bg:2.0178 | Loss_pos:12.6058 | Loss_neg:0.0000 | Loss_iou:5.9649 | Loss_cls:0.5384 | Loss_s:1.8427 | Loss_r:1.4821 | Loss_l:7.6106 | LR:5.85082e-05 
[2021-11-19 21:50:45,180]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:50:45,180]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:50:45,180]-[train_GGHL.py line:220]:Inference time: 43.5559s 
[2021-11-19 21:51:06,434]-[train_GGHL.py line:169]: Epoch:[ 16/31] Batch:[  0/30] Img_size:[800] Loss:45.2516 Loss_fg:4.5130 | Loss_bg:2.9059 | Loss_pos:14.5792 | Loss_neg:0.0000 | Loss_iou:7.3652 | Loss_cls:0.3820 | Loss_s:2.1202 | Loss_r:3.0432 | Loss_l:10.3429 | LR:5.31799e-05 
[2021-11-19 21:51:30,701]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:51:30,701]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:51:30,701]-[train_GGHL.py line:220]:Inference time: 45.5208s 
[2021-11-19 21:51:51,964]-[train_GGHL.py line:169]: Epoch:[ 17/31] Batch:[  0/30] Img_size:[736] Loss:46.4184 Loss_fg:5.1446 | Loss_bg:2.2664 | Loss_pos:15.6248 | Loss_neg:0.0000 | Loss_iou:7.1816 | Loss_cls:0.6390 | Loss_s:2.3333 | Loss_r:3.5220 | Loss_l:9.7067 | LR:4.78201e-05 
[2021-11-19 21:52:13,193]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:52:13,193]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:52:13,193]-[train_GGHL.py line:220]:Inference time: 42.4916s 
[2021-11-19 21:52:34,002]-[train_GGHL.py line:169]: Epoch:[ 18/31] Batch:[  0/30] Img_size:[768] Loss:37.7558 Loss_fg:4.7673 | Loss_bg:2.2252 | Loss_pos:12.8603 | Loss_neg:0.0000 | Loss_iou:6.6163 | Loss_cls:0.5649 | Loss_s:1.5111 | Loss_r:1.1608 | Loss_l:8.0498 | LR:4.24918e-05 
[2021-11-19 21:52:57,834]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:52:57,834]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:52:57,834]-[train_GGHL.py line:220]:Inference time: 44.6417s 
[2021-11-19 21:53:21,449]-[train_GGHL.py line:169]: Epoch:[ 19/31] Batch:[  0/30] Img_size:[864] Loss:41.1327 Loss_fg:5.0755 | Loss_bg:2.7263 | Loss_pos:13.3668 | Loss_neg:0.0000 | Loss_iou:6.6541 | Loss_cls:0.4457 | Loss_s:1.7350 | Loss_r:2.0560 | Loss_l:9.0733 | LR:3.72573e-05 
[2021-11-19 21:53:48,394]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:53:48,394]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:53:48,394]-[train_GGHL.py line:220]:Inference time: 50.5593s 
[2021-11-19 21:54:09,410]-[train_GGHL.py line:169]: Epoch:[ 20/31] Batch:[  0/30] Img_size:[736] Loss:25.2298 Loss_fg:3.7791 | Loss_bg:1.2486 | Loss_pos:7.8504 | Loss_neg:0.0000 | Loss_iou:4.1965 | Loss_cls:0.1935 | Loss_s:0.9012 | Loss_r:0.7930 | Loss_l:6.2674 | LR:3.21782e-05 
[2021-11-19 21:54:32,178]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:54:32,178]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:54:32,178]-[train_GGHL.py line:220]:Inference time: 43.7843s 
[2021-11-19 21:54:54,189]-[train_GGHL.py line:169]: Epoch:[ 21/31] Batch:[  0/30] Img_size:[832] Loss:30.6677 Loss_fg:3.3889 | Loss_bg:2.5739 | Loss_pos:10.4012 | Loss_neg:0.0000 | Loss_iou:5.4586 | Loss_cls:0.2134 | Loss_s:1.5126 | Loss_r:1.2344 | Loss_l:5.8846 | LR:2.73138e-05 
[2021-11-19 21:55:19,793]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:55:19,793]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:55:19,794]-[train_GGHL.py line:220]:Inference time: 47.6160s 
[2021-11-19 21:55:41,985]-[train_GGHL.py line:169]: Epoch:[ 22/31] Batch:[  0/30] Img_size:[864] Loss:48.5662 Loss_fg:6.3520 | Loss_bg:2.9860 | Loss_pos:16.3911 | Loss_neg:0.0000 | Loss_iou:8.1035 | Loss_cls:0.4854 | Loss_s:2.3983 | Loss_r:2.0896 | Loss_l:9.7601 | LR:2.27212e-05 
[2021-11-19 21:56:10,223]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:56:10,223]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:56:10,223]-[train_GGHL.py line:220]:Inference time: 50.4294s 
[2021-11-19 21:56:31,659]-[train_GGHL.py line:169]: Epoch:[ 23/31] Batch:[  0/30] Img_size:[864] Loss:42.6442 Loss_fg:5.0219 | Loss_bg:2.6346 | Loss_pos:14.0667 | Loss_neg:0.0000 | Loss_iou:6.7949 | Loss_cls:0.4047 | Loss_s:2.1608 | Loss_r:2.3920 | Loss_l:9.1686 | LR:1.84544e-05 
[2021-11-19 21:56:59,316]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:56:59,316]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:56:59,316]-[train_GGHL.py line:220]:Inference time: 49.0923s 
[2021-11-19 21:57:19,709]-[train_GGHL.py line:169]: Epoch:[ 24/31] Batch:[  0/30] Img_size:[768] Loss:30.7177 Loss_fg:3.4083 | Loss_bg:1.7676 | Loss_pos:9.6310 | Loss_neg:0.0000 | Loss_iou:5.0653 | Loss_cls:0.1495 | Loss_s:1.2546 | Loss_r:1.4448 | Loss_l:7.9966 | LR:1.45632e-05 
[2021-11-19 21:57:42,638]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:57:42,638]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:57:42,638]-[train_GGHL.py line:220]:Inference time: 43.3219s 
[2021-11-19 21:58:05,703]-[train_GGHL.py line:169]: Epoch:[ 25/31] Batch:[  0/30] Img_size:[864] Loss:28.7360 Loss_fg:4.2669 | Loss_bg:1.8929 | Loss_pos:9.0457 | Loss_neg:0.0000 | Loss_iou:4.8518 | Loss_cls:0.2276 | Loss_s:1.0127 | Loss_r:1.3843 | Loss_l:6.0541 | LR:1.10934e-05 
[2021-11-19 21:58:34,031]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:58:34,031]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:58:34,031]-[train_GGHL.py line:220]:Inference time: 51.3930s 
[2021-11-19 21:58:54,647]-[train_GGHL.py line:169]: Epoch:[ 26/31] Batch:[  0/30] Img_size:[736] Loss:33.0944 Loss_fg:4.6344 | Loss_bg:2.0461 | Loss_pos:10.8521 | Loss_neg:0.0000 | Loss_iou:5.1817 | Loss_cls:0.3341 | Loss_s:1.7949 | Loss_r:1.0674 | Loss_l:7.1837 | LR:8.08557e-06 
[2021-11-19 21:59:16,423]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 21:59:16,423]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 21:59:16,423]-[train_GGHL.py line:220]:Inference time: 42.3927s 
[2021-11-19 21:59:38,159]-[train_GGHL.py line:169]: Epoch:[ 27/31] Batch:[  0/30] Img_size:[800] Loss:30.6927 Loss_fg:4.6060 | Loss_bg:1.9734 | Loss_pos:10.1191 | Loss_neg:0.0000 | Loss_iou:5.4659 | Loss_cls:0.2753 | Loss_s:0.9945 | Loss_r:0.8840 | Loss_l:6.3746 | LR:5.57502e-06 
[2021-11-19 22:00:02,608]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 22:00:02,608]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 22:00:02,608]-[train_GGHL.py line:220]:Inference time: 46.1850s 
[2021-11-19 22:00:24,670]-[train_GGHL.py line:169]: Epoch:[ 28/31] Batch:[  0/30] Img_size:[800] Loss:29.7937 Loss_fg:3.9413 | Loss_bg:1.8434 | Loss_pos:9.4509 | Loss_neg:0.0000 | Loss_iou:4.8139 | Loss_cls:0.2825 | Loss_s:1.2569 | Loss_r:1.4762 | Loss_l:6.7286 | LR:3.59117e-06 
[2021-11-19 22:00:49,310]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 22:00:49,310]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 22:00:49,310]-[train_GGHL.py line:220]:Inference time: 46.7017s 
[2021-11-19 22:01:10,228]-[train_GGHL.py line:169]: Epoch:[ 29/31] Batch:[  0/30] Img_size:[768] Loss:35.0954 Loss_fg:5.4026 | Loss_bg:3.4893 | Loss_pos:10.4962 | Loss_neg:0.0000 | Loss_iou:5.8715 | Loss_cls:0.2923 | Loss_s:0.8434 | Loss_r:1.2245 | Loss_l:7.4756 | LR:2.15728e-06 
[2021-11-19 22:01:33,482]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 22:01:33,483]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 22:01:33,483]-[train_GGHL.py line:220]:Inference time: 44.1734s 
[2021-11-19 22:01:55,589]-[train_GGHL.py line:169]: Epoch:[ 30/31] Batch:[  0/30] Img_size:[800] Loss:35.7309 Loss_fg:5.1492 | Loss_bg:1.9967 | Loss_pos:10.8827 | Loss_neg:0.0000 | Loss_iou:5.5466 | Loss_cls:0.3495 | Loss_s:1.4234 | Loss_r:1.1453 | Loss_l:9.2374 | LR:1.29017e-06 
[2021-11-19 22:02:20,515]-[train_GGHL.py line:217]:Save weights Done 
[2021-11-19 22:02:20,515]-[train_GGHL.py line:218]:mAP: 0.000 
[2021-11-19 22:02:20,515]-[train_GGHL.py line:220]:Inference time: 47.0317s 
[2021-11-19 22:02:20,515]-[train_GGHL.py line:222]:Training finished.  Best_mAP: 0.000% 
